,tradePrice,segment,productType,tradedQty,symbol,orderDateTime,tradeValue,side,orderType
2,233.55,10,CO,1,NSE:GPPL-EQ,09-08-2024 09:51,233.55,-1,2
3,214.62,10,CO,1,NSE:KARURVYSYA-EQ,09-08-2024 13:53,214.62,-1,1
4,394.5,10,CO,1,NSE:GICRE-EQ,09-08-2024 10:51,394.5,-1,2
5,243.75,10,CO,1,NSE:BANKBARODA-EQ,09-08-2024 13:13,243.75,1,2
6,112.82,10,CNC,5,NSE:PDMJEPAPER-EQ,09-08-2024 15:07,564.1,-1,2
7,394.2,10,CO,1,NSE:GICRE-EQ,09-08-2024 10:10,394.2,1,2
8,215.37,10,CO,1,NSE:KARURVYSYA-EQ,09-08-2024 13:41,215.37,1,2
0,775.05,10,CO,1,NSE:ZENSARTECH-EQ,12-08-2024 10:28,775.05,-1,2
1,748.5,10,CO,1,NSE:ISEC-EQ,12-08-2024 10:36,748.5,1,2
2,770,10,CO,1,NSE:ZENSARTECH-EQ,12-08-2024 10:05,770,1,2
3,755.2,10,CO,1,NSE:ISEC-EQ,12-08-2024 10:56,755.2,-1,2
4,229.4,10,CO,1,NSE:GSFC-EQ,12-08-2024 12:04,229.4,1,2
5,231.11,10,CO,1,NSE:GSFC-EQ,12-08-2024 12:35,231.11,-1,2
0,676.25,10,CO,1,NSE:GRANULES-EQ,20-08-2024 09:27,676.25,-1,2
1,672,10,CO,1,NSE:GRANULES-EQ,20-08-2024 09:23,672,1,2
0,684.65,10,CO,1,NSE:GRANULES-EQ,21-08-2024 13:21,684.65,-1,2
1,686.6,10,CO,1,NSE:GRANULES-EQ,21-08-2024 13:04,686.6,1,2
2,856.9,10,CO,1,NSE:CANFINHOME-EQ,21-08-2024 09:49,856.9,1,2
3,845,10,CO,1,NSE:CANFINHOME-EQ,21-08-2024 13:21,845,-1,2
0,148.37,10,CO,1,NSE:HFCL-EQ,22-08-2024 10:11,148.37,-1,2
1,638.85,10,CO,1,NSE:INDHOTEL-EQ,22-08-2024 10:36,638.85,-1,2
2,147.13,10,CO,1,NSE:HFCL-EQ,22-08-2024 09:47,147.13,1,2
3,631.4,10,CO,1,NSE:INDHOTEL-EQ,22-08-2024 09:42,631.4,1,2
0,188.15,10,CO,1,NSE:DEVYANI-EQ,23-08-2024 10:46,188.15,-1,2
1,434.5,10,CO,1,NSE:INDUSTOWER-EQ,23-08-2024 15:08,434.5,-1,2
2,437.15,10,CO,1,NSE:INDUSTOWER-EQ,23-08-2024 12:38,437.15,1,2
3,186.7,10,CO,1,NSE:DEVYANI-EQ,23-08-2024 10:18,186.7,1,2
0,665.85,10,CO,1,NSE:INDHOTEL-EQ,27-08-2024 09:52,665.85,1,2
1,462.65,10,CO,1,NSE:IIFL-EQ,27-08-2024 14:00,462.65,-1,2
2,462.4,10,CO,1,NSE:IIFL-EQ,27-08-2024 13:43,462.4,1,2
3,665.35,10,CO,1,NSE:INDHOTEL-EQ,27-08-2024 14:49,665.35,-1,2
0,1230.8,10,CO,1,NSE:ICICIBANK-EQ,29-08-2024 12:18,1230.8,1,2
1,423.8,10,CO,2,NSE:DELHIVERY-EQ,29-08-2024 09:30,847.6,1,2
2,1234.1,10,CO,1,NSE:ICICIBANK-EQ,29-08-2024 12:33,1234.1,-1,2
3,147.25,10,CNC,3,NSE:HFCL-EQ,29-08-2024 15:26,441.75,1,2
4,501.65,10,CO,1,NSE:ITC-EQ,29-08-2024 11:24,501.65,1,2
5,421.25,10,CO,1,NSE:DELHIVERY-EQ,29-08-2024 10:49,421.25,-1,2
6,1220,10,CO,1,NSE:RPSGVENT-EQ,29-08-2024 14:05,1220,-1,1
7,501.95,10,CO,1,NSE:ITC-EQ,29-08-2024 11:28,501.95,-1,2
8,767.1,10,CO,1,NSE:ACI-EQ,29-08-2024 10:40,767.1,-1,1
9,421.25,10,CO,1,NSE:DELHIVERY-EQ,29-08-2024 10:49,421.25,-1,2
10,1249,10,CO,1,NSE:RPSGVENT-EQ,29-08-2024 13:00,1249,1,2
11,773.85,10,CO,1,NSE:ACI-EQ,29-08-2024 09:50,773.85,1,2
0,173.99,10,CO,1,NSE:CUB-EQ,30-08-2024 11:33,173.99,1,2
1,555.8,10,CO,1,NSE:IGL-EQ,30-08-2024 13:41,555.8,-1,2
2,554.1,10,CO,1,NSE:IGL-EQ,30-08-2024 11:31,554.1,1,2
3,588.25,10,CO,1,NSE:RVNL-EQ,30-08-2024 10:25,588.25,1,2
4,714,10,CO,1,NSE:GRANULES-EQ,30-08-2024 10:36,714,1,2
5,711.2,10,CO,1,NSE:GRANULES-EQ,30-08-2024 10:49,711.2,-1,2
6,378.6,10,CO,1,NSE:GODIGIT-EQ,30-08-2024 10:50,378.6,1,2
7,172.15,10,CO,1,NSE:CUB-EQ,30-08-2024 12:15,172.15,-1,2
8,591.05,10,CO,1,NSE:RVNL-EQ,30-08-2024 10:30,591.05,-1,2
9,379.85,10,CO,1,NSE:GODIGIT-EQ,30-08-2024 10:58,379.85,-1,2
0,108.21,10,CO,1,NSE:JMFINANCIL-EQ,02-09-2024 13:34,108.21,-1,1
1,223.3,10,CO,1,NSE:KARURVYSYA-EQ,02-09-2024 11:13,223.3,-1,2
2,602.3,10,CO,1,NSE:RVNL-EQ,02-09-2024 09:39,602.3,-1,1
3,490.1,10,CO,1,NSE:PCBL-EQ,02-09-2024 10:02,490.1,1,2
4,109.37,10,CO,1,NSE:JMFINANCIL-EQ,02-09-2024 12:26,109.37,1,2
5,224.69,10,CO,1,NSE:KARURVYSYA-EQ,02-09-2024 10:31,224.69,1,2
6,108.4,10,CO,1,NSE:JMFINANCIL-EQ,02-09-2024 11:59,108.4,-1,2
7,618.3,10,CO,1,NSE:RVNL-EQ,02-09-2024 09:24,618.3,1,2
8,107.86,10,CO,1,NSE:JMFINANCIL-EQ,02-09-2024 15:02,107.86,-1,1
9,109.76,10,CO,1,NSE:JMFINANCIL-EQ,02-09-2024 11:04,109.76,1,2
10,504.1,10,CO,1,NSE:PCBL-EQ,02-09-2024 10:08,504.1,-1,2
11,108.65,10,CO,1,NSE:JMFINANCIL-EQ,02-09-2024 14:11,108.65,1,2
0,927.6,10,CO,1,NSE:TANLA-EQ,03-09-2024 10:41,927.6,1,2
1,928.3,10,CO,1,NSE:TANLA-EQ,03-09-2024 11:06,928.3,-1,2
2,564.35,10,CO,1,NSE:PFC-EQ,05-09-2024 11:11,564.35,-1,2
3,561.95,10,CO,1,NSE:PFC-EQ,05-09-2024 10:35,561.95,1,2
0,183.69,10,CNC,8,NSE:FEDERALBNK-EQ,09-09-2024 09:52,1469.52,-1,2
1,506.4,10,CO,1,NSE:ITC-EQ,09-09-2024 10:03,506.4,-1,2
2,118.07,10,CNC,5,NSE:UNIONBANK-EQ,09-09-2024 09:53,590.35,-1,2
3,504.2,10,CO,1,NSE:ITC-EQ,09-09-2024 09:57,504.2,1,2
4,101.78,10,CNC,10,NSE:CANBK-EQ,09-09-2024 09:52,1017.8,-1,2
0,428.8,10,CO,1,NSE:INDUSTOWER-EQ,10-09-2024 13:29,428.8,-1,2
1,427.85,10,CO,1,NSE:INDUSTOWER-EQ,10-09-2024 10:27,427.85,1,2
